id,name,mapped_id,keywords
0,Kinh doanh / Bán hàng,26,"kinh doanh ,  bán hàng ,  sales ,  telesales ,  sale ,  bán ,  mua hàng ,  thu ngân ,  livestream/tiktok/kol/koc ,  kol ,  koc ,  livestream ,  đơn hàng ,  pricing ,  thanh toán ,  cửa hàng ,  merchandiser ,  merchandise ,  merchandising ,  dealer ,  purchasing ,  business ,  doanh nghiệp ,  đấu thầu ,  cashier ,  seller ,  youtube ,  fanpage ,  mua sắm"
1,IT phần mềm,21,"it ,  phần mềm ,  developer ,  web ,  network ,  devops ,  lập trình ,  thuật toán ,  game ,  ba ,  business analyst ,  data ,  dev ,  kỹ sư giải pháp ,  bridge system engineer ,  brse ,  php ,  phân tích nghiệp vụ ,  tester ,  mobile ,  ios ,  android ,  cloud ,  .net ,  embedded ,  software ,  java ,  python ,  c ,  c# ,  c++ ,  c-sharp ,  backend ,  frontend ,  back end ,  front end ,  back-end ,  front-end ,  fullstack ,  full-stack ,  full stack ,  reactjs ,  react native ,  javascript ,  fresher ,  kiểm thử ,  flutter ,  test ,  full - stack ,  nodejs ,  server ,  testing ,  fontend ,  test ,  nextjs ,  nuxtjs ,  golang ,  tech ,  angular ,  platform engineer ,  dotnet ,  matlab ,  cad engineer ,  sql ,  vmware"
2,Hành chính / Văn phòng,18,"hành chính ,  văn phòng ,  hành chánh"
3,Giáo dục / Đào tạo,15,"giáo dục ,  đào tạo ,  giáo viên ,  giảng viên ,  trợ giảng ,  gia sư ,  học viên ,  training ,  học thuật ,  tuyển sinh ,  học sinh ,  teacher ,  tutor ,  academic ,  academy ,  chủ nhiệm ,  giáo vụ ,  học vụ ,  learning experience ,  giảng dạy ,  education ,  lớp học ,  sinh viên ,  học liệu ,  học đường ,  khảo thí ,  giám thị ,  thí sinh"
4,Tư vấn,52,"tư vấn ,  consultant ,  consulting ,  cố vấn ,  phân tích ,  tư vấn ,  hỗ trợ ,  support ,  hướng dẫn viên ,  tham vấn ,  service desk"
5,Marketing / Truyền thông / Quảng cáo,30,"marketing ,  graphic designer ,  đồ họa ,  thiết kế ,  seo ,  ads ,  kol ,  koc ,  tiktoker ,  maketing ,  content ,  branding ,  media ,  marketer ,  maketer ,  truyền thông ,  brand ,  seeding ,  social media ,  sáng tạo nội dung ,  pr ,  quảng cáo ,  ad optimizer ,  marketor ,  google ads ,  google adwords ,  cms ,  youtube ,  fanpage ,  trực page ,  multimedia , tiếp thị "
6,Vận tải / Kho vận,54,"vận tải ,  kho vận ,  vận chuyển ,  kho ,  giao nhận ,  giao hàng ,  tài xế ,  lái xe ,  lái phụ ,  warehouse staff ,  đóng hàng ,  đóng gói"
7,Kế toán / Kiểm toán,,"kế toán ,  kiểm toán"
8,Quản lý chất lượng (QA/QC),39,"quản lý chất lượng ,  qa ,  qc ,  qa/qc ,  chất lượng ,  qs"
9,Công nghệ thông tin,21,"công nghệ thông tin ,  công nghệ ,  thông tin ,  helpdesk ,  system admin ,  máy tính ,  dms ,  system engineer ,  technical support ,  kỹ thuật ,  dữ liệu ,  kĩ thuật ,  triển khai ,  systems administration ,  cntt ,  cms ,  adoption specialist ,  service desk"
10,Thư ký / Trợ lý,18,"thư ký ,  trợ lý ,  assistant"
11,Thời trang,47,"thời trang ,  phục trang ,  stylist"
12,Thiết kế đồ họa,43,"graphic designer ,  đồ họa ,  thiết kế ,  3d ,  design ,  animator ,  animation ,  video ,  videographer ,  biên tập viên ,  biên kịch ,  2d ,  photographer"
13,Nhân sự,34,"nhân sự ,  tuyển dụng ,  hr ,  c&b ,  human resources ,  human resource ,  c & b ,  c - b ,  talent acquisition ,  recruiter ,  recruit ,  recruitment ,  talent management ,  ứng viên ,  tiền lương và phúc lợi"
14,Tổ chức sự kiện / Quà tặng,32,"tổ chức sự kiện ,  sự kiện ,  pr ,  event ,  tiệc"
15,Xây dựng,57,"xây dựng ,  công trình ,  construction ,  mep ,  trắc đạc ,  kỹ sư qs ,  thi công ,  công trường ,  quan trắc ,  giám sát hạ tầng ,  cầu đường ,  pme ,  kỹ sư cầu ,  thoát nước ,  bim ,  structural engineer ,  plumber ,  plumbing"
16,Y tế / Dược,58,"y tá ,  sức khỏe ,  thuốc ,  dược sĩ ,  điều dưỡng ,  dinh dưỡng ,  y tế ,  bênh viện ,  trình dược viên ,  y học ,  hộ sinh ,  dược sỹ"
17,Điện / Điện tử / Điện lạnh,60,"điện ,  điện tử ,  điện lạnh"
18,Biên / Phiên dịch,3,"biên dịch ,  phiên dịch ,  biên / phiên dịch ,  thông dịch ,  dịch thuật ,  translator"
19,Cơ khí / Chế tạo / Tự động hóa,9,"cơ khí ,  chế tạo ,  tự động hóa ,  vận hành ,  đo lường ,  điều khiển ,  thợ hàn ,  thủy lực ,  hydraulic ,  mechanical ,  lắp ráp ,  hàn xì"
20,Ngân hàng / Tài chính,33,"ngân hàng ,  tài chính ,  tín dụng ,  bảo hiểm ,  tài sản ,  finance ,  financial ,  nợ ,  quỹ ,  fraud ,  risk ,  nguồn vốn ,  treasury ,  rủi ro ,  thẩm định"
21,Thực phẩm / Đồ uống,48,"thực phẩm ,  đồ uống ,  phục vụ ,  nhà hàng ,  bar ,  bartender ,  pha chế ,  đầu bếp ,  f&b ,  food ,  beverage ,  beverages ,  foods ,  f&b ,  restaurant ,  bếp phụ ,  bia rượu ,  bếp chính ,  bếp phó ,  bếp ,  chef ,  sommelier"
22,Luật/Pháp lý,37,"luật ,  pháp lý ,  luật sư ,  công chứng ,  công tố ,  thẩm phán ,  pháp chế ,  legal ,  compliance ,  tuân thủ"
23,Báo chí / Truyền hình,45,"báo chí ,  truyền hình ,  truyền thông ,  biên tập viên ,  biên kịch ,  dựng phim ,  phóng viên ,  btv"
24,Quản lý điều hành,10,"quản lý ,  điều hành ,  leader ,  performance executive ,  operations manager ,  manager ,  trưởng phòng ,  điều phối ,  quản trị ,  giám đốc ,  operation ,  lead ,  executive ,  business administration ,  business administrator ,  giám sát ,  director ,  tổ trưởng ,  trưởng phòng ,  phó phòng ,  administrative ,  quản đốc ,  administrator ,  điều vận ,  admin ,  supervisor ,  giám sát ,  tổ trưởng ,  chỉ huy"
25,Ngành nghề khác,32,
26,Điện tử viễn thông,20,"viễn thông ,  mạng ,  phát sóng"
27,Logistics,44,"logistics ,  logistic ,  chuỗi cung ứng ,  thu mua ,  supply chain ,  supply chains ,  supply ,  cung ứng"
28,Khách sạn / Nhà hàng,25,"khách sạn ,  nhà hàng ,  restaurant ,  buồng phòng"
29,Xuất nhập khẩu,56,"xuất nhập khẩu ,  hàng nhập ,  chứng từ ,  xnk ,  nhập khẩu ,  xuất khẩu ,  import ,  export"
30,IT Phần cứng / Mạng,20,"viễn thông ,  mạng ,  tín hiệu ,  phần cứng ,  robotics ,  service engineer ,  vmware"
31,Du lịch,25,du lịch
32,Chứng khoán / Vàng / Ngoại tệ,50,"chứng khoán ,  vàng ,  ngoại tệ ,  investor"
33,Dịch vụ khách hàng,8,"chăm sóc khách hàng ,  khách hàng ,  dịch vụ khách hàng ,  telesales ,  customer ,  relationship manager ,  lễ tân ,  receptionist ,  tổng đài ,  cskh ,  call center ,  callcenter ,  call-center ,  client service ,  dịch vụ hành khách ,  chăm sóc cư dân ,  chăm sóc dân cư ,  căn hộ ,  housekeeping ,  tạp vụ"
34,Hoạch định/Dự án,38,"quản lý dự án ,  project manager ,  product owner ,  hoạch định ,  dự án ,  product manager ,  kế hoạch ,  scrum ,  planner ,  planning ,  crm"
35,Tài chính / Đầu tư,50,"chứng khoán ,  vàng ,  ngoại tệ ,  đầu tư ,  invest ,  investment ,  investor ,  asset"
36,Công nghệ Ô tô,53,"ô tô ,  car ,  xe cơ giới"
37,Mỹ phẩm / Trang sức,63,"mỹ phẩm ,  trang sức"
38,Kiến trúc,27,"kiến trúc ,  kết cấu"
39,Bất động sản,7,"bất động sản ,  nhà đất ,  bđs "
40,Thiết kế nội thất,27,nội thất
41,Sản xuất,42,sản xuất
42,Mỹ thuật / Nghệ thuật / Điện ảnh,43,"mỹ thuật ,  nghệ thuật ,  điện ảnh ,  người mẫu ,  dựng phim ,  photographer ,  videographer ,  biên tập viên ,  biên kịch ,  diễn viên ,  art ,  artist ,  cameraman ,  camera ,  quay phim ,  creative ,  btv ,  quay dựng ,  quay - dựng ,  media ,  multimedia"
43,Công nghệ cao,62,công nghệ cao
44,Nông / Lâm / Ngư nghiệp,35,"nông nghiệp ,  lâm nghiệp ,  ngư nghiệp ,  thủy sản ,  hải sản"
45,Dược phẩm / Công nghệ sinh học,12,"dược phẩm ,  công nghệ sinh học ,  vi sinh"
46,Spa / Làm đẹp,70,"spa ,  làm đẹp"
47,Hàng tiêu dùng,65,"hàng tiêu dùng ,  gia dụng ,  dụng cụ"
48,Dệt may / Da giày,14,"dệt may ,  da giày ,  garment ,  may mẫu ,  may mặc "
49,Hàng hải,16,"hàng hải ,  hải quan ,  tàu biển ,  biển"
50,An toàn lao động,2,"an toàn lao động ,  hse ,  an ninh ,  an toàn ,  safety ,  security ,  bảo vệ ,  cứu hộ ,  pccc ,  gatehouse ,  firefighting ,  firefighter"
51,Hoá học / Sinh học,19,"hóa học ,  sinh học ,  hóa dược ,  kỹ sư hóa ,  hóa sinh ,  hóa lý"
52,Bảo trì / Sửa chữa,55,"bảo trì ,  sửa chữa ,  vận hành ,  điều độ ,  bảo hành ,  service engineer"
53,Môi trường / Xử lý chất thải,31,"môi trường ,  chất thải ,  cây xanh ,  nhiễm khuẩn ,  trồng mới"
54,Bưu chính - Viễn thông,71,"bưu chính ,  bưu điện ,  thư tín ,  bưu cục"
55,Hàng gia dụng,64,"gia dụng ,  tiêu dùng ,  dụng cụ ,  hàng tiêu dụng"
56,Bán hàng kỹ thuật,61,"technical sales ,  bán hàng kỹ thuật"
57,Bán lẻ / bán sỉ,5,"bán lẻ ,  bán sỉ"
58,Bảo hiểm,6,"bảo hiểm ,  insurance"
59,Dầu khí/Hóa chất,23,"dầu khí ,  dầu mỏ ,  khí đốt"
60,In ấn / Xuất bản,45,"in ấn ,  xuất bản ,  báo chí ,  sách"
61,Hàng không,17,"hàng không ,  tiếp viên hàng không ,  phi công ,  máy bay"
62,NGO / Phi chính phủ / Phi lợi nhuận,36,"NGO ,  phi chính phủ ,  phi lợi nhuận"
63,Địa chất / Khoáng sản,23,"địa chất ,  khoáng sản ,  năng lượng ,  trắc địa"
64,Phi chính phủ / Phi lợi nhuận,36,"NGO ,  phi chính phủ ,  phi lợi nhuận"
65,Sản phẩm công nghiệp,41,"công nghiệp ,  industrial"
66,Hàng cao cấp,63,"đá quý ,  trang sức"
67,Kiểm toán,28,"kiểm toán ,  audit ,  auditor ,  auditing ,  audits"
68,Kế toán ,29,"kế toán ,  account ,  accounting ,  accountant"
69,Điện - Điện tử,60,"điện ,  điện tử ,  electrical ,  electric ,  electronic ,  electronics ,  electrician ,  mep"
70,Điện lạnh - Nhiệt lạnh,59,"điện lạnh ,  nhiệt lạnh"
71,Bác sĩ,4,"bác sĩ ,  doctor ,  bác sỹ"
72,Nghiên cứu và Phát triển,72,"nghiên cứu ,  phát triển ,  r&d ,  research ,  thị trường ,  rnd"
73,Thời vụ - Hợp đồng ngắn hạn,69,"cộng tác viên ,  ctv"
